listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue
576992,2026-02-01,0,28,1.0,8356.0,298.4,298.4,247,89,5,263.0,263.0,7364.0
576992,2026-03-01,0,31,1.0,9357.0,301.8,301.8,,,5,266.0,266.0,8246.0
576992,2026-04-01,0,30,1.0,9151.0,305.0,305.0,,,5,269.0,269.0,8064.0
576992,2026-05-01,1,30,0.968,9075.0,302.6,302.5,306,56,5,267.0,267.0,7997.0
576992,2026-06-01,0,30,1.0,8976.0,299.2,299.2,237,6,5,264.0,264.0,7910.0
576992,2026-07-01,1,30,0.968,9317.0,310.6,310.6,255,7,5,274.0,274.0,8211.0
576992,2026-08-01,17,14,0.452,4342.0,311.8,310.1,223,5,5,273.0,275.0,3826.0
576992,2026-09-01,2,28,0.933,8693.0,310.6,310.5,295,11,5,274.0,274.0,7661.0
576992,2026-10-01,11,20,0.645,6027.0,300.2,301.4,339,6,4,266.0,265.0,5311.0
576992,2026-11-01,0,30,1.0,9070.0,302.3,302.3,285,61,5,266.0,266.0,7993.0
576992,2026-12-01,0,31,1.0,9329.0,300.9,300.9,,,5,265.0,265.0,8221.0
576992,2027-01-01,31,0,0.0,0.0,313.6,,,,5,,276.0,0.0
557051,2026-02-01,0,28,1.0,8315.0,297.0,297.0,162,28,5,262.0,262.0,7328.0
557051,2026-03-01,0,31,1.0,10191.0,328.7,328.7,103,122,5,290.0,290.0,8981.0
557051,2026-04-01,0,30,1.0,9574.0,319.1,319.1,,,5,281.0,281.0,8437.0
557051,2026-05-01,0,31,1.0,9834.0,317.2,317.2,,,5,280.0,280.0,8666.0
557051,2026-06-01,0,30,1.0,9581.0,319.4,319.4,,,5,281.0,281.0,8443.0
557051,2026-07-01,31,0,0.0,0.0,347.3,,,,5,,306.0,0.0
557051,2026-08-01,31,0,0.0,0.0,370.2,,,,5,,326.0,0.0
557051,2026-09-01,30,0,0.0,0.0,352.1,,,,5,,310.0,0.0
557051,2026-10-01,31,0,0.0,0.0,374.6,,,,5,,330.0,0.0
557051,2026-11-01,30,0,0.0,0.0,370.7,,,,5,,327.0,0.0
557051,2026-12-01,31,0,0.0,0.0,362.2,,,,,,319.0,0.0
557051,2027-01-01,31,0,0.0,0.0,359.7,,,,,,317.0,0.0
70586,2026-02-01,13,15,0.536,4506.0,294.9,300.4,,,6,265.0,260.0,3971.0
70586,2026-03-01,17,14,0.452,4080.0,295.0,291.4,154,14,4,257.0,260.0,3595.0
70586,2026-04-01,30,0,0.0,0.0,300.5,,,,3,,265.0,0.0
70586,2026-05-01,31,0,0.0,0.0,291.0,,,,3,,256.0,0.0
70586,2026-06-01,30,0,0.0,0.0,292.7,,,,3,,258.0,0.0
70586,2026-07-01,31,0,0.0,0.0,292.4,,,,3,,258.0,0.0
70586,2026-08-01,31,0,0.0,0.0,294.6,,,,3,,260.0,0.0
70586,2026-09-01,30,0,0.0,0.0,297.2,,,,3,,262.0,0.0
70586,2026-10-01,31,0,0.0,0.0,296.2,,,,3,,261.0,0.0
70586,2026-11-01,30,0,0.0,0.0,296.7,,,,3,,261.0,0.0
70586,2026-12-01,31,0,0.0,0.0,296.8,,,,3,,262.0,0.0
70586,2027-01-01,31,0,0.0,0.0,300.3,,,,3,,265.0,0.0
584317,2026-02-01,28,0,0.0,0.0,59.2,,,,30,,52.0,0.0
584317,2026-03-01,31,0,0.0,0.0,62.4,,,,30,,55.0,0.0
584317,2026-04-01,30,0,0.0,0.0,63.6,,,,30,,56.0,0.0
584317,2026-05-01,31,0,0.0,0.0,65.0,,,,30,,57.0,0.0
584317,2026-06-01,30,0,0.0,0.0,65.9,,,,30,,58.0,0.0
584317,2026-07-01,31,0,0.0,0.0,66.1,,,,30,,58.0,0.0
584317,2026-08-01,31,0,0.0,0.0,65.9,,,,30,,58.0,0.0
584317,2026-09-01,30,0,0.0,0.0,64.7,,,,30,,57.0,0.0
584317,2026-10-01,31,0,0.0,0.0,62.5,,,,30,,55.0,0.0
584317,2026-11-01,30,0,0.0,0.0,61.1,,,,30,,54.0,0.0
584317,2026-12-01,31,0,0.0,0.0,60.5,,,,30,,53.0,0.0
584317,2027-01-01,31,0,0.0,0.0,60.3,,,,,,53.0,0.0
429194,2026-02-01,0,28,1.0,5267.0,188.1,188.1,195,60,4,166.0,166.0,4642.0
429194,2026-03-01,0,31,1.0,5765.0,186.0,186.0,,,4,164.0,164.0,5080.0
429194,2026-04-01,5,25,0.833,4926.0,197.1,197.0,260,64,4,174.0,174.0,4341.0
429194,2026-05-01,0,31,1.0,6208.0,200.3,200.3,,,4,177.0,177.0,5471.0
429194,2026-06-01,4,26,0.867,5315.0,204.9,204.4,328,23,4,180.0,181.0,4684.0
429194,2026-07-01,0,31,1.0,6257.0,201.8,201.8,291,27,4,178.0,178.0,5514.0
429194,2026-08-01,0,31,1.0,6898.0,222.5,222.5,273,21,4,196.0,196.0,6079.0
429194,2026-09-01,13,17,0.567,3586.0,207.2,210.9,330,4,3,186.0,183.0,3160.0
429194,2026-10-01,31,0,0.0,0.0,198.0,,,,4,,174.0,0.0
429194,2026-11-01,30,0,0.0,0.0,194.4,,,,4,,171.0,0.0
429194,2026-12-01,31,0,0.0,0.0,193.6,,,,4,,171.0,0.0
429194,2027-01-01,31,0,0.0,0.0,195.9,,,,4,,173.0,0.0
468441,2026-02-01,28,0,0.0,0.0,211.6,,,,3,,186.0,0.0
468441,2026-03-01,31,0,0.0,0.0,208.3,,,,3,,184.0,0.0
468441,2026-04-01,30,0,0.0,0.0,212.6,,,,3,,187.0,0.0
468441,2026-05-01,28,3,0.097,605.0,212.2,201.7,216,8,3,178.0,187.0,533.0
468441,2026-06-01,25,5,0.167,1029.0,211.5,205.8,,,3,181.0,186.0,907.0
468441,2026-07-01,31,0,0.0,0.0,220.8,,,,3,,195.0,0.0
468441,2026-08-01,31,0,0.0,0.0,220.7,,,,3,,194.0,0.0
468441,2026-09-01,30,0,0.0,0.0,219.1,,,,3,,193.0,0.0
468441,2026-10-01,31,0,0.0,0.0,218.3,,,,3,,192.0,0.0
468441,2026-11-01,30,0,0.0,0.0,216.9,,,,3,,191.0,0.0
468441,2026-12-01,31,0,0.0,0.0,216.1,,,,3,,190.0,0.0
468441,2027-01-01,31,0,0.0,0.0,219.4,,,,,,193.0,0.0
11798,2026-02-01,6,22,0.786,2951.0,134.2,134.1,54,22,4,118.0,118.0,2601.0
11798,2026-03-01,31,0,0.0,0.0,138.0,,,,4,,122.0,0.0
11798,2026-04-01,30,0,0.0,0.0,141.1,,,,4,,124.0,0.0
11798,2026-05-01,31,0,0.0,0.0,143.7,,,,4,,127.0,0.0
11798,2026-06-01,30,0,0.0,0.0,138.3,,,,4,,122.0,0.0
11798,2026-07-01,31,0,0.0,0.0,141.2,,,,4,,124.0,0.0
11798,2026-08-01,31,0,0.0,0.0,136.8,,,,4,,121.0,0.0
11798,2026-09-01,30,0,0.0,0.0,134.1,,,,4,,118.0,0.0
11798,2026-10-01,31,0,0.0,0.0,134.5,,,,4,,119.0,0.0
11798,2026-11-01,30,0,0.0,0.0,135.9,,,,4,,120.0,0.0
11798,2026-12-01,31,0,0.0,0.0,136.8,,,,4,,121.0,0.0
11798,2027-01-01,31,0,0.0,0.0,137.0,,,,,,121.0,0.0
551560,2026-02-01,28,0,0.0,0.0,135.8,,,,4,,120.0,0.0
551560,2026-03-01,31,0,0.0,0.0,135.7,,,,4,,120.0,0.0
551560,2026-04-01,30,0,0.0,0.0,137.6,,,,,,121.0,0.0
551560,2026-05-01,31,0,0.0,0.0,138.2,,,,,,122.0,0.0
551560,2026-06-01,30,0,0.0,0.0,137.4,,,,,,121.0,0.0
551560,2026-07-01,31,0,0.0,0.0,137.9,,,,,,122.0,0.0
551560,2026-08-01,31,0,0.0,0.0,138.2,,,,,,122.0,0.0
