listing_id,date,vacant_days,reserved_days,occupancy,revenue,rate_avg,booked_rate_avg,booking_lead_time_avg,length_of_stay_avg,min_nights_avg,native_booked_rate_avg,native_rate_avg,native_revenue
479634,2025-02-01,19,9,0.321,1235.0,135.8,137.2,9,9,4,132.0,131.0,1192.0
479634,2025-03-01,3,28,0.903,3517.0,125.4,125.6,33,9,4,121.0,121.0,3389.0
479634,2025-04-01,0,30,1.0,3875.0,129.2,129.2,52,10,3,120.0,120.0,3590.0
479634,2025-05-01,5,26,0.839,3272.0,125.6,125.8,92,7,4,111.0,111.0,2897.0
479634,2025-06-01,0,30,1.0,3845.0,128.2,128.2,97,4,4,113.0,113.0,3388.0
479634,2025-07-01,4,27,0.871,3634.0,134.5,134.6,61,4,5,119.0,119.0,3202.0
479634,2025-08-01,7,24,0.774,3461.0,142.9,144.2,35,4,6,127.0,126.0,3050.0
479634,2025-09-01,7,23,0.767,3253.0,141.7,141.4,149,8,5,125.0,125.0,2867.0
479634,2025-10-01,3,28,0.903,4037.0,145.2,144.2,119,9,5,127.0,128.0,3558.0
479634,2025-11-01,0,30,1.0,4092.0,136.4,136.4,,,5,120.0,120.0,3606.0
479634,2025-12-01,6,25,0.806,3205.0,127.8,128.2,92,4,5,113.0,113.0,2824.0
479634,2026-01-01,13,18,0.581,2828.0,154.5,157.1,77,9,4,138.0,136.0,2492.0
575286,2025-02-01,28,0,0.0,0.0,393.9,,,,5,,380.0,0.0
575286,2025-03-01,31,0,0.0,0.0,403.7,,,,5,,389.0,0.0
575286,2025-04-01,30,0,0.0,0.0,394.8,,,,5,,366.0,0.0
575286,2025-05-01,31,0,0.0,0.0,402.5,,,,5,,356.0,0.0
575286,2025-06-01,30,0,0.0,0.0,397.1,,,,5,,350.0,0.0
575286,2025-07-01,26,5,0.161,1878.0,370.8,375.6,64,5,5,331.0,327.0,1655.0
575286,2025-08-01,25,6,0.194,1926.0,355.1,321.0,174,6,6,283.0,313.0,1697.0
575286,2025-09-01,30,0,0.0,0.0,322.5,,,,6,,284.0,0.0
575286,2025-10-01,28,3,0.097,826.0,297.1,275.3,66,3,6,243.0,262.0,728.0
575286,2025-11-01,30,0,0.0,0.0,319.1,,,,6,,281.0,0.0
575286,2025-12-01,31,0,0.0,0.0,323.5,,,,6,,285.0,0.0
575286,2026-01-01,31,0,0.0,0.0,316.7,,,,6,,279.0,0.0
75708,2025-02-01,18,10,0.357,671.0,72.9,67.1,2,14,4,65.0,70.0,648.0
75708,2025-03-01,8,23,0.742,1633.0,71.0,71.0,15,3,4,68.0,68.0,1573.0
75708,2025-04-01,6,24,0.8,1713.0,71.0,71.4,31,5,4,66.0,66.0,1587.0
75708,2025-05-01,11,20,0.645,1509.0,76.0,75.5,32,4,3,67.0,67.0,1336.0
75708,2025-06-01,2,28,0.933,2461.0,88.8,87.9,81,7,3,77.0,78.0,2169.0
75708,2025-07-01,21,10,0.323,766.0,76.1,76.6,4,4,5,68.0,67.0,675.0
75708,2025-08-01,31,0,0.0,0.0,79.2,,,,4,,70.0,0.0
75708,2025-09-01,17,13,0.433,1123.0,86.1,86.4,37,13,4,76.0,76.0,990.0
75708,2025-10-01,11,20,0.645,2001.0,100.1,100.0,12,11,5,88.0,88.0,1763.0
75708,2025-11-01,6,24,0.8,2245.0,93.0,93.5,31,7,6,82.0,82.0,1978.0
75708,2025-12-01,16,15,0.484,1420.0,95.1,94.7,33,3,10,83.0,84.0,1251.0
75708,2026-01-01,16,15,0.484,1355.0,90.2,90.3,21,4,8,80.0,79.0,1194.0
301233,2025-02-01,10,18,0.643,1648.0,91.4,91.6,24,22,30,88.0,88.0,1590.0
301233,2025-03-01,4,27,0.871,2501.0,93.1,92.6,10,23,30,89.0,90.0,2410.0
301233,2025-04-01,5,25,0.833,2467.0,98.4,98.7,42,64,30,91.0,91.0,2285.0
301233,2025-05-01,0,31,1.0,3060.0,98.7,98.7,,,30,87.0,87.0,2709.0
301233,2025-06-01,7,23,0.767,2311.0,100.0,100.5,113,24,30,89.0,88.0,2037.0
301233,2025-07-01,22,9,0.29,896.0,101.6,99.6,,,30,88.0,90.0,790.0
301233,2025-08-01,30,1,0.032,103.0,102.9,103.0,19,1,30,91.0,91.0,91.0
301233,2025-09-01,29,1,0.033,104.0,110.1,104.0,100,1,30,92.0,97.0,92.0
301233,2025-10-01,13,18,0.581,2059.0,113.9,114.4,143,20,30,101.0,100.0,1814.0
301233,2025-11-01,3,27,0.9,3067.0,113.6,113.6,132,25,30,100.0,100.0,2703.0
301233,2025-12-01,23,8,0.258,917.0,115.2,114.6,45,20,30,101.0,102.0,808.0
301233,2026-01-01,19,12,0.387,1372.0,116.2,114.3,,,30,101.0,102.0,1209.0
308572,2025-02-01,0,28,1.0,5487.0,196.0,196.0,,,30,189.0,189.0,5295.0
308572,2025-03-01,22,9,0.29,1768.0,195.7,196.4,115,9,30,189.0,189.0,1704.0
308572,2025-04-01,29,1,0.033,196.0,195.4,196.0,,,30,182.0,181.0,182.0
308572,2025-05-01,8,23,0.742,4509.0,196.2,196.0,161,45,30,174.0,174.0,3992.0
308572,2025-06-01,8,22,0.733,4393.0,200.0,199.7,,,30,176.0,176.0,3871.0
308572,2025-07-01,26,5,0.161,1020.0,202.8,204.0,47,5,30,180.0,179.0,899.0
308572,2025-08-01,31,0,0.0,0.0,192.5,,,,30,,170.0,0.0
308572,2025-09-01,30,0,0.0,0.0,150.1,,,,30,,132.0,0.0
308572,2025-10-01,31,0,0.0,0.0,141.9,,,,30,,125.0,0.0
308572,2025-11-01,30,0,0.0,0.0,142.0,,,,30,,125.0,0.0
308572,2025-12-01,31,0,0.0,0.0,123.9,,,,30,,109.0,0.0
308572,2026-01-01,27,4,0.129,355.0,118.1,88.8,149,104,30,78.0,104.0,313.0
518742,2025-02-01,17,11,0.393,1932.0,177.2,175.6,52,2,2,169.0,171.0,1864.0
