listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohost_ids,cohost_names,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,professional_management,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days
5396,Your perfect Paris studio on Île Saint-Louis,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/52413/f9bf76f5_original.jpg,15,7903,Borzou,2130918,Guillaume,false,48.8524,2.3569,2,,1,1.0,false,"TV,Cable TV,Wifi,Kitchen,Hot water kettle,Books and reading material,Portable fans,Hot water,Body soap,Bed linens,Extra pillows and blankets,Cleaning products,Coffee maker,Refrigerator,Drying rack for clothing,Dishes and silverware,Heating,Cooking basics,Oven,Coffee,Clothing storage,Stove,Wine glasses,Washer,Smoke alarm,Shower gel,First aid kit,Fire extinguisher,Essentials,Long term stays allowed,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Baking sheet,Toaster",false,,2,Strict,EUR,47,17,460,4.62,4.6,4.8,4.6,4.8,5.0,4.6,27300.0,24718.0,143.2,128.4,0.496,0.566,69.5,63.1,79.3,72.0,181,45,184,365,0.0,0.0,145.0,127.9,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
7397,MARAIS - 2ROOMS APT - 2/4 PEOPLE,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/67928287/330bd78c_original.jpg,29,2626,Franck,"","",false,48.8591,2.3532,4,2,1,1.0,true,"Hair dryer,Shampoo,Hot water,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,TV,Heating,Smoke alarm,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Stove,Oven,Coffee maker,Paid parking off premises",,false,10,Moderate,EUR,58,0,393,4.73,4.8,4.9,4.5,4.9,4.9,4.7,42510.0,38058.0,171.6,153.9,0.663,0.0,111.2,99.7,0.0,0.0,242,0,123,365,12376.0,10903.0,178.0,156.9,0.733,0.0,131.1,115.5,0.0,0.0,66,0,24,90
9952,Paris small cozy area,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/ae822d16-74d2-4e8a-a157-16b0fdf1fa8a.jpg,15,33534,Elisabeth,"","",false,48.8637,2.3709,2,1,1,1.0,true,"TV,Wifi,Kitchen,Room-darkening shades,Paid parking off premises,Books and reading material,Portable fans,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Cleaning products,Coffee maker,Refrigerator,Dishes and silverware,Heating,Cooking basics,Oven,Coffee,Clothing storage,Stove,Single level home,Smoke alarm,Shower gel,First aid kit,Luggage dropoff allowed,Essentials,Shampoo,Hangers,Dining table,Hair dryer,Iron,Dedicated workspace,Baking sheet,Freezer",,,4,Firm,EUR,44,0,52,4.92,5.0,5.0,4.9,4.9,4.9,4.9,12835.0,11814.0,142.2,127.8,0.227,0.865,34.1,31.4,129.6,119.4,83,269,282,365,0.0,0.0,135.7,119.7,0.0,0.0,0.0,0.0,0.0,0.0,0,90,90,90
11265,Elegant appartment in Montmartre,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-11265/original/da545dc1-8a12-4dad-813b-b2ba8c56dbc3.jpeg,22,41718,Sylvie,"","",false,48.8849,2.3400,2,1,1,1.0,true,"Hair dryer,Cleaning products,Shampoo,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Iron,Clothing storage,TV,Portable fans,Heating,Smoke alarm,Carbon monoxide alarm,Fire extinguisher,Wifi,Dedicated workspace,Kitchen,Refrigerator,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Dining table,Laundromat nearby,Elevator,Paid parking off premises,Long term stays allowed",,false,7,Firm,EUR,95,0,43,4.91,4.9,4.8,5.0,4.9,5.0,4.9,25578.0,22666.0,180.7,162.2,0.381,0.706,67.0,59.3,124.1,109.9,139,168,226,365,0.0,0.0,195.3,172.1,0.0,0.0,0.0,0.0,0.0,0.0,0,90,90,90
11487,"Heart of  Paris, brand new aparment.",Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-11487/original/e2b1bf2a-83e5-432a-ba7c-7c1a44b66e92.jpeg,14,42666,Brigitte,"","",true,48.8644,2.3714,1,,1,1.0,true,"Hair dryer,Cleaning products,Hot water,Washer,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,TV,Portable fans,Heating,Smoke alarm,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Hot water kettle,Coffee maker,Wine glasses,Dining table,Private entrance,Paid parking off premises,Long term stays allowed",,false,30,Strict,EUR,,,18,4.94,4.8,4.9,4.9,4.9,4.9,4.8,18236.0,16293.0,73.7,66.5,0.674,0.911,50.0,44.6,67.5,60.3,246,95,119,365,3861.0,3404.0,59.3,52.3,0.722,0.855,42.9,37.8,50.8,44.8,65,14,25,90
11798,Loft à Paris,Entire loft,entire_home,https://a0.muscache.com/im/pictures/22458692/09eb352b_original.jpg,15,44444,Laurence,"","",false,48.8252,2.3675,2,1,1,1.0,true,"Wifi,Kitchen,Hot water kettle,Paid parking off premises,Books and reading material,Portable fans,Smoking allowed,Ceiling fan,Gym,Conditioner,Laundromat nearby,Cleaning products,Drying rack for clothing,Heating,Paid parking on premises,Coffee,Clothing storage,Wine glasses,Washer,Smoke alarm,Essentials,Shampoo,Hangers,Hair dryer,Iron,Dedicated workspace,Freezer,Bathtub,Blender,Hot water,Body soap,Bed linens,Extra pillows and blankets,Microwave,Coffee maker,Refrigerator,Dishes and silverware,Cooking basics,Oven,EV charger,Shower gel,Backyard,Luggage dropoff allowed,Cleaning before checkout,Dining table,Baking sheet,Bread maker,Toaster",,false,4,Moderate,EUR,46,0,127,4.85,4.9,4.9,4.8,5.0,4.8,4.8,6512.0,5819.0,145.2,130.3,0.115,0.0,17.0,15.2,0.0,0.0,42,0,323,365,2656.0,2340.0,141.4,124.5,0.2,0.0,28.5,25.1,0.0,0.0,18,0,72,90
12887,"Double Bedroom & Terrace, Heart of Paris.Nice area",Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/hosting/Hosting-12887/original/7b9bc86c-c984-499f-b0bf-b7f47bcf50d2.jpeg,35,49798,Laura On Paris Rooftop,"","",false,48.8620,2.3822,2,1,1,1.0,false,"Wifi,Kitchen,Hot water kettle,Paid parking off premises,Books and reading material,Portable fans,Smoking allowed,Breakfast,Elevator,Free street parking,Laundromat nearby,Outdoor furniture,Hot tub,Cleaning products,Drying rack for clothing,Heating,Coffee,Clothing storage,Wine glasses,Washer,Smoke alarm,Carbon monoxide alarm,First aid kit,Fire extinguisher,Essentials,Hangers,Hair dryer,Iron,Dedicated workspace,Outdoor dining area,Freezer,Bathtub,Blender,Room-darkening shades,Bikes,Hot water,Body soap,Bed linens,Extra pillows and blankets,Ethernet connection,Microwave,Refrigerator,Dishwasher,Dishes and silverware,Cooking basics,Oven,Stove,Single level home,Shower gel,Patio or balcony,Backyard,Luggage dropoff allowed,Long term stays allowed,Dining table,Sun loungers,Toaster",false,false,3,Strict,EUR,34,23,111,4.61,4.6,4.8,4.7,4.8,4.8,4.6,3425.0,3156.0,94.2,84.6,0.09,0.168,8.5,7.9,15.9,14.7,33,169,332,365,1179.0,1042.0,105.2,92.8,0.122,0.0,12.7,11.2,0.0,0.0,11,0,79,90
14903,SPACIOUS PARC DE LA VILLETTE,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/3800862/2303faf8_original.jpg,21,58645,Fred,"","",false,48.8828,2.3864,3,1,1,1.5,true,"TV,Washer,Cable TV,Dryer,Smoke alarm,Wifi,Kitchen,Elevator,Heating",false,false,7,Strict,EUR,23,0,8,5.0,4.8,4.8,4.0,5.0,4.2,4.6,7994.0,7048.0,218.1,195.7,0.099,0.128,21.5,18.9,27.9,24.6,36,84,329,365,0.0,0.0,230.6,203.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
16626,Elegance in St Michel,Private room in rental unit,private_room,https://a0.muscache.com/im/pictures/84879fff-0230-4193-9076-307bd8563966.jpg,17,64627,Phoenice,93492,⁨Maria I.⁩,true,48.8522,2.3411,,,2,0.0,false,"Bathtub,Hair dryer,Cleaning products,Shampoo,Conditioner,Body soap,Hot water,Shower gel,Washer,Dryer,Essentials,Hangers,Bed linens,Extra pillows and blankets,Room-darkening shades,Iron,Drying rack for clothing,Clothing storage,TV,Books and reading material,Pack ’n play/Travel crib,Portable fans,Heating,Smoke alarm,Wifi,Dedicated workspace,Kitchen,Refrigerator,Microwave,Cooking basics,Dishes and silverware,Freezer,Dishwasher,Stove,Oven,Hot water kettle,Coffee maker,Wine glasses,Toaster,Baking sheet,Blender,Dining table,Coffee,Elevator,Paid parking off premises,Single level home,Luggage dropoff allowed,Breakfast",,false,2,Strict,EUR,100,0,200,4.89,4.8,4.9,4.8,4.9,5.0,4.8,61864.0,55186.0,208.1,186.7,0.742,0.809,155.8,139.1,169.7,151.6,271,30,94,365,17784.0,15671.0,204.9,180.6,0.856,0.0,177.6,156.5,0.0,0.0,77,0,13,90
17287,Unique Loft in Paris near Parc de la Villette,Entire loft,entire_home,https://a0.muscache.com/im/ml/photo_enhancement/pictures/48756370/c5f93618_original.jpg,16,64055,David,"","",false,48.8977,2.3851,5,1,1,2.0,true,"TV,Wifi,Kitchen,Smoking allowed,Game console,Hot water,Microwave,Coffee maker,Refrigerator,Dishwasher,Dishes and silverware,Heating,Cooking basics,Washer,Smoke alarm,Carbon monoxide alarm,Patio or balcony,Essentials,Long term stays allowed,Hangers,Hair dryer,Iron,Dedicated workspace",,,5,Moderate,EUR,157,,48,4.71,4.8,4.9,4.5,4.8,4.5,4.8,1740.0,1538.0,92.6,84.2,0.041,0.052,3.9,3.5,4.9,4.4,15,76,350,365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
