listing_id,date,num_reviews,reviewers
24151,2025-07-01,1,175316893
24151,2025-06-01,1,103677600
24151,2025-05-01,2,"315887338,18030509"
24151,2025-04-01,1,167237619
151020,2025-09-01,3,"164742336,39100283,12640804"
151020,2025-08-01,4,"495630738,445240894,54488308,22937370"
151020,2025-02-01,1,85971617
547346,2025-07-01,4,"584192715,477423490,12812276,38289307"
547346,2025-05-01,1,8618230
547346,2025-04-01,1,34529986
75708,2025-03-01,1,49441706
75708,2025-10-01,2,"41696581,587246645"
75708,2025-06-01,1,32406678
75708,2025-05-01,1,531032643
75708,2025-12-01,2,"28208840,593560633"
301233,2025-11-01,1,40193760
301233,2025-06-01,1,15032909
301233,2025-03-01,1,47476748
308572,2025-03-01,1,104951859
308572,2025-06-01,1,554023231
518742,2025-04-01,1,87796454
518742,2025-02-01,2,"277461013,156771139"
333104,2025-07-01,1,13359300
87481,2025-10-01,1,476726662
87481,2025-06-01,1,178431680
87481,2025-05-01,1,587279728
285786,2025-04-01,1,20188221
378897,2025-10-01,1,233851776
378897,2025-09-01,1,441294846
378897,2025-06-01,1,15711612
378897,2025-03-01,1,29042407
233110,2025-11-01,1,25698840
233110,2025-03-01,2,"590423331,430100760"
233110,2025-10-01,2,"144678358,8085172"
233110,2025-06-01,2,"580603256,25646590"
233110,2025-02-01,1,68323069
233110,2025-05-01,2,"538149038,240413497"
233110,2025-08-01,2,"120617169,9374641"
233110,2025-04-01,3,"287989523,177562505,191083902"
468471,2025-11-01,1,71495218
468471,2025-10-01,1,21752736
468471,2025-09-01,2,"372669516,302554391"
468471,2025-06-01,2,"59479945,24174087"
468471,2025-05-01,1,3575944
468471,2025-04-01,2,"57640072,23951620"
468471,2025-03-01,1,147206013
168652,2025-10-01,1,90557198
168652,2025-06-01,2,"87777510,58215174"
168652,2025-04-01,1,585769984
568394,2025-09-01,3,"3311504,14147144,180265620"
568394,2025-06-01,2,"152813361,870385"
41106,2025-09-01,1,135240309
41106,2025-10-01,3,"105439562,86279010,1812541"
41106,2025-04-01,1,218434323
77482,2025-09-01,1,6595589
77482,2025-05-01,1,258239358
77482,2025-03-01,1,312949483
77482,2025-04-01,1,59027169
77482,2025-02-01,1,89207452
343721,2025-09-01,1,204316013
343721,2025-05-01,1,17366246
343721,2025-08-01,1,23108438
343721,2025-04-01,3,"169138613,7546258,196181721"
352851,2025-03-01,1,11391315
352851,2025-02-01,2,"131946324,572680726"
154292,2025-11-01,1,454332476
154292,2025-07-01,1,65258687
154292,2026-01-01,1,16447732
154292,2025-06-01,3,"48848264,161039820,527230674"
154292,2025-12-01,3,"726027606,151880078,54822743"
31435,2025-11-01,1,124510831
31435,2025-09-01,2,"462662681,701680578"
31435,2025-05-01,1,137535443
31435,2025-03-01,2,"542498972,171286155"
31435,2025-12-01,1,549090911
31435,2025-10-01,2,"62968021,495000064"
31435,2025-08-01,2,"473613502,650395074"
31435,2025-04-01,3,"653481567,58489382,126466329"
31435,2025-02-01,1,595771139
371862,2025-08-01,1,7352531
371862,2025-05-01,1,9930888
371862,2025-04-01,1,452250513
39948,2025-11-01,1,25720740
39948,2025-05-01,2,"172495858,514795101"
39948,2025-03-01,2,"19307868,207563535"
39948,2025-10-01,2,"538924598,937516"
39948,2025-06-01,1,81873535
39948,2025-02-01,2,"346662370,58027205"
325333,2025-08-01,3,"52048098,131140624,510314851"
195564,2025-09-01,1,713871687
195564,2025-10-01,1,567011135
195564,2025-11-01,4,"715982021,4483801,261487100,239572160"
312437,2025-03-01,1,2731638
312437,2025-10-01,1,165647249
312437,2025-05-01,1,3539043
312437,2025-08-01,1,119112401
189378,2025-11-01,2,"113252025,243428408"
189378,2025-07-01,2,"230507154,181123133"
189378,2025-03-01,1,2586198
189378,2025-10-01,1,517859
189378,2025-06-01,2,"41464,274516793"
189378,2025-02-01,1,66275905
189378,2025-05-01,2,"38297562,59771700"
189378,2025-12-01,1,345693656
449093,2025-11-01,2,"363795065,1171804"
449093,2025-09-01,3,"177810498,50366242,65978465"
449093,2025-07-01,1,526267592
449093,2025-05-01,2,"17809847,104265114"
449093,2025-03-01,1,1329429
449093,2025-12-01,2,"24233754,193349"
449093,2025-10-01,2,"311188034,376642899"
449093,2025-08-01,1,119722750
449093,2025-06-01,3,"24841920,170043104,41966590"
449093,2025-04-01,2,"79119449,2286514"
546099,2025-07-01,2,"466741477,103234799"
546099,2025-05-01,1,8980777
546099,2025-08-01,2,"252351111,140749455"
546099,2025-06-01,3,"81904925,188046391,656895910"
110322,2025-07-01,1,34451045
110322,2025-06-01,1,225950453
307154,2025-11-01,1,61699972
307154,2025-09-01,3,"8837902,33125036,206935119"
307154,2025-05-01,2,"52236000,25545034"
307154,2026-01-01,1,29350973
307154,2025-02-01,1,19562606
307154,2025-10-01,2,"2069432,1317022"
495927,2025-07-01,1,7016438
495927,2025-06-01,2,"44804381,682106878"
495927,2025-04-01,1,33904841
495927,2025-03-01,1,353175272
391189,2025-11-01,3,"378009401,435545771,543751061"
391189,2025-07-01,2,"473823377,56013144"
391189,2025-03-01,3,"360885771,311695164,360840936"
391189,2025-10-01,3,"212973283,536188224,679598897"
391189,2025-06-01,3,"34828354,125369077,464696169"
391189,2025-09-01,5,"711857887,499157929,359608503,676535402,151471749"
391189,2025-05-01,2,"235569473,25687212"
391189,2025-12-01,1,32936433
391189,2025-08-01,1,387081105
391189,2025-04-01,3,"435752878,14163429,212156019"
574232,2025-07-01,1,16267672
574232,2025-06-01,1,202413043
232437,2025-07-01,3,"13251275,118217677,289924356"
232437,2025-12-01,1,52701186
109161,2025-06-01,1,568316513
109161,2025-09-01,1,245975648
